theme_set_id,n,theme_set_dist_1,theme_set_dist_2,theme_set_dist_3,theme_set_dist_4,theme_set_dist_5,theme_set_dist_6
01_02_03,1,"(1, 4, 1)",,,,,
01_02_04,1,"(0, 1, 0)",,,,,
01_02_05,1,"(1, 1, 0)",,,,,
01_02_06,1,"(0, 1, 16)",,,,,
01_02_07,1,"(0, 1, 1)",,,,,
01_02_08,1,"(1, 0, 144)",,,,,
01_02_09,1,"(0, 1, 1)",,,,,
01_02_10,1,"(0, 1, 4)",,,,,
01_02_11,1,"(0, 4, 0)",,,,,
01_02_12,1,"(0, 1, 9)",,,,,
01_02_13,1,"(0, 4, 4)",,,,,
01_02_14,1,"(0, 1, 1)",,,,,
01_02_15,1,"(0, 1, 1)",,,,,
01_02_16,1,"(1, 1, 16)",,,,,
01_02_17,1,"(1, 4, 4)",,,,,
01_02_18,1,"(1, 0, 0)",,,,,
01_02_19,1,"(1, 0, 4)",,,,,
01_02_20,1,"(0, 4, 0)",,,,,
01_02_21,1,"(0, 1, 16)",,,,,
01_02_22,1,"(0, 1, 1)",,,,,
01_02_23,1,"(1, 0, 0)",,,,,
01_02_24,1,"(0, 1, 4)",,,,,
01_02_25,1,"(0, 1, 0)",,,,,
01_02_26,1,"(0, 1, 1)",,,,,
01_03_04,1,"(1, 1, 0)",,,,,
01_03_05,1,"(1, 1, 1)",,,,,
01_03_06,1,"(1, 1, 16)",,,,,
01_03_07,1,"(1, 1, 1)",,,,,
01_03_08,1,"(4, 1, 64)",,,,,
01_03_09,1,"(1, 4, 1)",,,,,
01_03_10,1,"(1, 1, 1)",,,,,
01_03_11,1,"(1, 1, 0)",,,,,
01_03_12,1,"(4, 0, 0)",,,,,
01_03_13,1,"(1, 1, 1)",,,,,
01_03_14,2,"(4, 1, 1)","(1, 4, 1)",,,,
01_03_15,1,"(1, 1, 1)",,,,,
01_03_16,1,"(4, 0, 9)",,,,,
01_03_17,1,"(4, 1, 4)",,,,,
01_03_18,1,"(1, 4, 1)",,,,,
01_03_19,1,"(4, 1, 4)",,,,,
01_03_20,1,"(1, 1, 1)",,,,,
01_03_21,1,"(4, 0, 4)",,,,,
01_03_22,1,"(1, 1, 9)",,,,,
01_03_23,1,"(1, 1, 1)",,,,,
01_03_24,1,"(1, 1, 1)",,,,,
01_03_25,1,"(1, 4, 0)",,,,,
01_03_26,1,"(1, 4, 1)",,,,,
01_04_05,1,"(1, 0, 0)",,,,,
01_04_06,1,"(1, 0, 4)",,,,,
01_04_07,2,"(1, 0, 0)","(0, 0, 1)",,,,
01_04_08,1,"(4, 0, 49)",,,,,
01_04_09,1,"(1, 0, 0)",,,,,
01_04_10,2,"(1, 0, 1)","(0, 0, 4)",,,,
01_04_11,1,"(0, 0, 0)",,,,,
01_04_12,1,"(1, 0, 1)",,,,,
01_04_13,1,"(0, 0, 1)",,,,,
01_04_14,1,"(1, 0, 0)",,,,,
01_04_15,2,"(1, 0, 0)","(0, 0, 1)",,,,
01_04_16,1,"(4, 0, 4)",,,,,
01_04_17,1,"(1, 0, 4)",,,,,
01_04_18,1,"(1, 0, 0)",,,,,
01_04_19,2,"(4, 0, 1)","(1, 0, 4)",,,,
01_04_20,1,"(0, 0, 0)",,,,,
01_04_21,1,"(0, 0, 16)",,,,,
01_04_22,1,"(0, 0, 1)",,,,,
01_04_23,2,"(1, 0, 0)","(0, 0, 1)",,,,
01_04_24,1,"(1, 0, 1)",,,,,
01_04_25,1,"(0, 0, 0)",,,,,
01_04_26,2,"(1, 0, 0)","(0, 0, 1)",,,,
01_05_06,1,"(1, 0, 4)",,,,,
01_05_07,1,"(1, 4, 0)",,,,,
01_05_08,1,"(4, 1, 64)",,,,,
01_05_09,1,"(1, 9, 0)",,,,,
01_05_10,2,"(4, 1, 1)","(1, 9, 1)",,,,
01_05_11,1,"(0, 16, 0)",,,,,
01_05_12,1,"(1, 1, 1)",,,,,
01_05_13,2,"(4, 4, 1)","(1, 16, 1)",,,,
01_05_14,1,"(4, 0, 0)",,,,,
01_05_15,1,"(1, 4, 0)",,,,,
01_05_16,1,"(4, 0, 9)",,,,,
01_05_17,1,"(4, 4, 4)",,,,,
01_05_18,1,"(1, 4, 0)",,,,,
01_05_19,2,"(4, 4, 1)","(1, 4, 4)",,,,
01_05_20,1,"(1, 1, 0)",,,,,
01_05_21,1,"(1, 0, 9)",,,,,
01_05_22,1,"(0, 9, 1)",,,,,
01_05_23,1,"(1, 1, 0)",,,,,
01_05_24,1,"(1, 9, 1)",,,,,
01_05_25,1,"(0, 9, 0)",,,,,
01_05_26,2,"(1, 9, 0)","(0, 9, 1)",,,,
01_06_07,1,"(1, 4, 0)",,,,,
01_06_08,1,"(4, 4, 100)",,,,,
01_06_09,1,"(1, 4, 1)",,,,,
01_06_10,1,"(4, 1, 0)",,,,,
01_06_11,1,"(1, 9, 0)",,,,,
01_06_12,1,"(1, 16, 1)",,,,,
01_06_13,1,"(1, 4, 1)",,,,,
01_06_14,1,"(1, 4, 1)",,,,,
01_06_15,1,"(1, 9, 0)",,,,,
01_06_16,1,"(4, 0, 9)",,,,,
01_06_17,1,"(4, 9, 4)",,,,,
01_06_18,1,"(1, 4, 1)",,,,,
01_06_19,2,"(4, 4, 4)","(1, 16, 4)",,,,
01_06_20,1,"(0, 16, 0)",,,,,
01_06_21,1,"(4, 0, 4)",,,,,
01_06_22,1,"(1, 9, 1)",,,,,
01_06_23,1,"(1, 4, 0)",,,,,
01_06_24,1,"(1, 4, 4)",,,,,
01_06_25,1,"(1, 9, 0)",,,,,
01_06_26,1,"(1, 9, 1)",,,,,
01_07_08,1,"(4, 0, 100)",,,,,
01_07_09,1,"(0, 1, 1)",,,,,
01_07_10,1,"(1, 1, 1)",,,,,
01_07_11,1,"(1, 1, 0)",,,,,
01_07_12,1,"(1, 1, 1)",,,,,
01_07_13,1,"(1, 1, 1)",,,,,
01_07_14,1,"(0, 1, 1)",,,,,
