theme_set_id,theme_synonym_id,pattern,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,n_in_min
01_02_03,6696585,021537864044444211,3,3,3,0,5,4,3,2,3,3,2,4,1,2,-3,0,1,3,1,0,5,2,3,4,2,2,9
01_02_04,6702627,082537164022146511,4,3,1,0,8,6,4,0,4,4,1,3,2,3,-4,0,0,2,0,0,5,3,4,3,1,2,10
01_02_05,6476160,135687420251014034,2,4,1,0,11,9,5,6,2,3,0,1,2,2,-3,3,0,4,2,0,5,3,5,1,1,2,59
01_02_06,6693900,054867312022201431,3,3,1,0,10,9,5,3,3,3,1,3,2,2,-3,3,0,3,1,0,2,1,5,2,1,1,9
01_02_07,6476235,314586270022132376,2,4,1,0,8,9,6,4,2,4,1,1,2,2,-4,0,2,4,2,0,4,3,5,1,1,2,24
01_02_08,6696629,052837164022144311,3,4,1,0,9,7,5,4,3,3,1,2,2,2,-3,0,0,4,2,0,4,2,5,2,1,2,17
01_02_09,6702627,082537164022146511,4,3,1,0,8,6,4,0,4,4,1,3,2,3,-4,0,0,2,0,0,5,3,4,3,1,2,10
01_02_10,6702627,082537164022146511,4,3,1,0,8,6,4,0,4,4,1,3,2,3,-4,0,0,2,0,0,5,3,4,3,1,2,10
01_02_11,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_02_12,6702627,082537164022146511,4,3,1,0,8,6,4,0,4,4,1,3,2,3,-4,0,0,2,0,0,5,3,4,3,1,2,10
01_02_13,6702627,082537164022146511,4,3,1,0,8,6,4,0,4,4,1,3,2,3,-4,0,0,2,0,0,5,3,4,3,1,2,10
01_02_14,6702627,082537164022146511,4,3,1,0,8,6,4,0,4,4,1,3,2,3,-4,0,0,2,0,0,5,3,4,3,1,2,10
